time,open,Percent change in price (close/open),close,BTC Dominance Open,Percent change in dominance (close/open),BTC Dominance Close,Volume,RSI (relative strength index),HV (historical volatility)
2019-03-28T20:00:00-04:00,4028.22,1.8626%,4103.25,53.34965421,-0.2183%,53.23317416,30084.21744,65.0596065,22.13367312
2019-03-29T20:00:00-04:00,4104.24,0.0665%,4106.97,53.21532787,0.2098%,53.32695743,19509.2926,65.30554291,21.93731889
2019-03-30T20:00:00-04:00,4106.99,-0.0740%,4103.95,53.33039151,-0.2513%,53.19639704,13525.08743,64.9061233,19.18724832
2019-03-31T20:00:00-04:00,4102.44,1.0267%,4144.56,53.21045855,-0.0195%,53.20010762,25507.06764,67.76150897,19.53771772
2019-04-01T20:00:00-04:00,4144.54,17.1973%,4857.29,53.18252582,0.9194%,53.67149557,105383.6393,87.29686051,90.90685114
2019-04-02T20:00:00-04:00,4857.19,1.5525%,4932.6,53.66200573,0.3962%,53.87459636,109890.1257,88.11628872,89.82245299
2019-04-03T20:00:00-04:00,4932.59,-0.6879%,4898.66,53.89438064,0.1803%,53.99155074,61054.25417,85.44136206,88.87522426
2019-04-04T20:00:00-04:00,4898.64,2.1702%,5004.95,53.98073047,-1.3973%,53.2264791,39768.55281,86.79346518,88.0832926
2019-04-05T20:00:00-04:00,5004.96,0.7778%,5043.89,53.22719918,0.3182%,53.39659075,41770.84231,87.26027226,88.56158121
2019-04-06T20:00:00-04:00,5042.07,2.5426%,5170.27,53.44129054,-0.1772%,53.34658039,37615.4868,88.66110528,87.14430349
2019-04-07T20:00:00-04:00,5170.27,1.2887%,5236.9,53.30089304,0.9938%,53.83059835,50178.43078,89.32740899,87.36089907
2019-04-08T20:00:00-04:00,5238.38,-1.6872%,5150,53.82611573,0.2681%,53.97044664,34067.01231,82.51690737,89.64704868
2019-04-09T20:00:00-04:00,5150,3.0728%,5308.25,53.91450515,0.3961%,54.12804654,40073.62047,84.7909795,88.45053152
2019-04-10T20:00:00-04:00,5307.86,-5.4728%,5017.37,54.15380275,1.2543%,54.83305289,54696.60069,67.42937253,100.1545323
2019-04-11T20:00:00-04:00,5017.37,0.6107%,5048.01,54.79256332,0.2436%,54.92602817,33276.67861,68.16872892,46.17869926
2019-04-12T20:00:00-04:00,5047,-0.0353%,5045.22,54.94036191,-0.0587%,54.90813282,17292.4568,68.01732143,45.62588058
2019-04-13T20:00:00-04:00,5047.45,1.6612%,5131.3,54.88112491,-0.4984%,54.60762375,18281.60774,70.21536918,45.92183695
